,Subject,Assignment,Status,Time,Priority,Start date,Due on
,,,,,,,
,"Sentence/Text Generation, VAE etc.",Scheduled Sampling for Sequence Prediction with Recurrent Neural Networks (Vinayls),Not started,1.5 hrs,Normal,,
,"Sentence/Text Generation, VAE etc.","Neural Variational Inference for Text Processing (Yishu Miao, Lei Yu, Phil Blunsom)",Not started,30 min,Normal,,
,Dialogue Generation,Unsupervised Discrete Sentence Representation Learning for Interpretable Neural Dialog Generation (ACL '18),Done,,Important,,
,Dialogue System,Sequicity: Simplifying Task-oriented Dialogue Systems with Single Sequence-to-Sequence Architectures (ACL '18),Done,,Important,,
,Dialogue Generation,Knowledge Diffusion for Neural Dialogue Generation (ACL 18),Not started,,High,,
,DST,Global-Locally Self-Attentive Encoder for Dialogue State Tracking [Socher] (ACL 18),Not started,,High,,
,"Sentence/Text Generation, VAE etc.",Toward Controlled Generation of Text (Hu et. al.),,,,,
,Dialogue System,End-to-End Task-Completion Neural Dialogue Systems (Li Et. al.) 1703.01008,,,,,
,"Sentence/Text Generation, VAE etc.",Auto-Encoding Variational Bayes (VAE) 1312.6114,,,High,,
,"Sentence/Text Generation, VAE etc.",Generating Sentences from a Continuous Space (Sentence VAE) Bowman et. al.,Done,,Important,,
,MDP/PoMDP/RL,"Partially observable Markov decision processes for spoken dialog systems (Williams, Young 2007)",,,,,
,Dialogue Generation,"Zero-Shot Dialog Generation with Cross-Domain Latent Actions (Zhao, Eskenazi)",,,Important,,
,,"Generative Encoder-Decoder Models for Task-Oriented Spoken Dialog
Systems with Chatting Capability (Zhao, Eskenazi)",,,,,
,,"Incorporating Copying Mechanism in Sequence to sequence learning, ACL, Gu et. al.",,,,,
,Evaluation,"RUBER: An Unsupervised Method for Automatic Evaluation of Open-Domain Dialog Systems, Tao @AAAI 17",,,Important,,
,Key Value,"Key-Value Retrieval Networks for task-oriented dialogue (C Manning, 2017 SIGDIAL)",Done,,High,,
,,A Knowledge-Grounded Neural Conversation Model (AAAI - 18),Done,,Important,,
,,Variational Memory Encoder-Decoder (https://arxiv.org/pdf/1807.09950.pdf),,,High,,
,,Memory Networks (Weston) 1410.3916,Done,,High,,
,Dialogue System,"Towards AI complete Question-Answering, A set of prerequisite Toy tasks (Weston)
",,,,,
,, Mem2Seq: Effectively Incorporating Knowledge Bases into End-to-End Task-Oriented Dialog Systems,Done,,High,,
,," End-To-End Memory Networks (Sukhbataar, 2015)",Done,,Important,,
,,"Variational Reasoning for Question Answering with Knowledge Graph (Yuyu Zhang, AAAI)",Done,,High,,
,,1702.01932 (A Knowledge-Grounded Neural Conversation Model) AAAI 18,,,High,,
,,"Neural Network-based Question Answering over Knowledge Graphs on Word and Character Level (Asja Fischer, 2017)",Done,,High,,
,, KG^2: Learning to Reason Science Exam Questions with Contextual Knowledge Graph Embeddings (Yuyu Zhang),,,High,,
,,"Autoencoders, Minimum Description Length and Helmholtz Free Energy (Hinton) ",,,Normal,,
,,Dialogue Generation with GAN (AAAI - 2018),Done,,Important,,
,,"Adversarial Learning for Neural Dialogue Generation - Li et al, ACL 18",,,Important,,
,,"BENCHMARKING UNCERTAINTY ESTIMATES WITH DEEP REINFORCEMENT LEARNING FOR DIALOGUE POLICY OPTIMISATION (Gasic, IEEE)",,,,,
