,Subject,Assignment,Status,Time,Priority,Start date,Due on
,,,,,,,
,,,,,,,
,,DialCrowd: A toolkit for easy dialog system assessment,,,,,
,,Generating Multiple Diverse Responses for Short-Text Conversation - [Latent Interpretation Space + RL] Concept,Done,,Important,,
,,An Interpretable Reasoning Network for Multi-Relation Question Answering (COLING),,,Important,,
,,"Neural Approaches to Conversational AI - Google Brain + MSR - Jianfeng Gao, Michel Galley, Lihong Li ",,,High,,
,,Deep Dyna-Q: Integrating Planning for Task-Completion Dialogue Policy Learning,,,Important,,
,,End-to-End Optimization of Task-Oriented Dialogue Model with Deep Reinforcement Learning - Liu et. al.,,,,,
,,Hybrid Code Networks: practical and efficient end-to-end dialog control with supervised and reinforcement learning - J. Williams et. al.,,,,,
,,"Personalizing Dialogue Agents: I have a dog, do you have pets too? - ACL 18",,,High,,
,,A Diversity-Promoting Objective Function for Neural Conversation Models - NAACL 2016,,,Important,,
,,"A Deep Reinforcement Learning Chatbot - MILABOT, Serban et al + Bengio",,,,,
,,Continuously Learning Neural Dialogue Management - Milica Gasic,,,,,
,,Policy Networks with Two-Stage Training for Dialogue Systems - M. Fatemi,,,,,
,,Long Text Generation via AdversarialTraining with Leaked Information - Jiaxian Guo,,,Important,,
,,Natural Actor and Belief Critic: Reinforcement algorithm for learning parameters of dialogue systems modelled as POMDPs - S. Young,,,High,,
,,DialogWAE: Multimodal Response Generation with Conditional Wasserstein Autoencoder - ICLR 2019,Done,,Important,,
,,End-to-End Question Answering Models for Goal-Oriented Dialog Learning - DSTC7,,,High,,
,,GLMP : Global-to-local Memory Pointer Networks for Task-Oriented Dialogue - R. Socher / NeurIPS 2018,,,,,
,,Wizard of Wikipedia: Knowledge-Powered Conversational Agents - J. Weston / ICLR 2019,,,High,,
,,Automatic evaluation of end-to-end dialog systems with adequacy-fluency metrics - D'Haro,,,Important,,
,,"Adversarial training and decoding strategies for end-to-end neural conversation models - DSTC 6 / C. Hori, T. Hori",,,High,,
,,Consistent Dialogue Generation with Self-supervised Feature Learning - Y.Zhang,,,,,
,,Building End-To-End Dialogue Systems Using Generative Hierarchical Neural Network Models - Serban et al. (HRED),,,,,
,,Improving Response Quality in a Knowledge-Grounded Chat System Based on a Sequence-to-Sequence Neural Network - Kim et al,,,,,
,Dialogue Retrieval,Learning Hybrid Representations to Retrieve Semantically Equivalent Questions - Santos (IBM),,,,,
,Dialogue Retrieval,Together We Stand: Siamese Networks for Similar Question Retrieval - Microsoft India,Done,,Important,,
,Persona,A Persona-Based Neural Conversation Model - Galley et al,,,High,,
,Persona,PERSONAGE: Personality Generation for Dialogue - Maireese et al,,,High,,
,Dialogue Retrieval,Smart Reply: Automated Response Suggestion for Email - Anjuli Kannan/Google,,,High,,
,Dialogue Retrieval,"Neural Network Approaches to Dialog Response Retrieval and Generation - Nio, Neubig et al",,,High,,
,Dialogue Generation,How NOT To Evaluate Your Dialogue System: An Empirical Study of Unsupervised Evaluation Metrics for Dialogue Response Generation - Serban et al,Done,,Important,,
,,Knowledge-incorporating ESIM models for Response Selection in Retrieval-based Dialog Systems - dstc7,Done,,Important,,
,,Fast abstractive summarization with reinforce selected sentence rewriting,Done,,Important,,
