,Subject,Assignment,Status,Time,Priority,Start date,Due on
,,,,,,,
,,"HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering",Not started,1.5 hrs,Important,,
,,Topic Memory Networks for Short Text Classification,,,,,
,,Modeling Game-Based Video-Context Dialogue (Mohit Bansal),,,High,,
,,"An Investigation of the Interactions Between Pre-Trained Word Embeddings, Character Models and POS Tags in Dependency Parsing",,,High,,
,,Nexus Network: Connecting the Preceding and the Following in Dialogue Generation,,,High,,
,,Decoupling Strategy and Generation in Negotiation Dialogues,,,,,
,,Learning End-to-End Goal-Oriented Dialog with Multiple Answers,,,,,
,,Discriminative Deep Dyna-Q: Robust Planning for Dialogue Policy Learning,,,,,
,,AirDialogue: An Environment for Goal-Oriented Dialogue Research,,,,,
,,Can a Suit of Armor Conduct Electricity? A New Dataset for Open Book Question Answering,,,High,,
,,Privacy-preserving Neural Representations of Text,,,,,
,,++Mohit Bansals EMNLP 2018 Papers,,,,,
,,How Much Reading Does Reading Comprehension Require? A Critical Investigation of Popular Benchmarks. Divyansh Kaushik and Zachary C. Lipton,,,,,
,,"MultiWOZ - A Large-Scale Multi-Domain Wizard-of-Oz Dataset for Task-Oriented Dialogue Modelling. Paweł Budzianowski, Tsung-Hsien Wen, Bo-Hsiang Tseng, Iñigo Casanueva, Stefan Ultes, Osman Ramadan and Milica Gasic",,,Important,,
,,"Phrase-Based & Neural Unsupervised Machine Translation. Guillaume Lample, Myle Ott, Alexis Conneau, Ludovic Denoyer and Marc’Aurelio Ranzato",,,,,
,,Semantic Parsing for Task Oriented Dialog using Hierarchical Representations - Sonal @FB,,,,,
