,Subject,Assignment,Status,Time,Priority,Start date,Due on
,,,,,,,
,,An overview of embedding models of entities and relationships for knowledge base completion (D Q Nguyen),Not started,1.5 hrs,Normal,,
,,Open-World Knowledge Graph Completion (AAAI 2017),Not started,,Normal,,
,,Entity Extraction:From Unstructured Text to DBpedia RDF Triples ( http://portal.research.lu.se/ws/files/3053000/3191702.pdf ),,,,,
,,DeepPath: A Reinforcement Learning Method for Knowledge Graph Reasoning (EMNLP 17),Done,,Important,,
,,,,,,,
,,T2KG: An End-to-End System for Creating Knowledge Graph from Unstructured Text,Done,,Important,,
,,"KGEval: Accuracy Estimation of Automatically Constructed Knowledge Graphs (Ojha, Talukdar)",,,,,
,,"OpenIE 12 - Open language learning for information extraction EMNLP-CoNLL 12 
https://github.com/dair-iitd/OpenIE-standalone",Done,,,,
,,"OpenIE 15 - Leveraging linguistic structure for open domain information extraction (C.Manning, ACL)",Done,,,,
,,Higher-order Relation Schema Induction using Tensor Factorization with Back-off and Aggregation - Partha T.,,,High,,
,,End-to-End Relation Extraction using LSTMs on Sequences and Tree Structures - M.Bansal,,,High,,
,,"Improving Information Extraction by Acquiring External Evidence with Reinforcement Learning - Karthik Narasimhan, Adam Yala, Regina Barzilay ",,,High,,
,,Modeling Relational Data with Graph Convolutional Networks,Done,,Important,,
,,A Survey on Open Information Extraction - COLING 2018,Done,,High,,
,,Graphene: Semantically-Linked Propositions in Open Information Extraction - COLING 2018,,,,,
,,Know-Evolve: Deep Temporal Reasoning for Dynamic Knowledge Graphs,Done,,Important,,
,,Learning Sequence Encoders for Temporal Knowledge Graph Completion - EMNLP 18 Short,Done,,High,,
,,TuckER: Tensor Factorization for Knowledge Graph Completion,Done,,High,,
,,Relational recurrent neural networks,,,High,,
,,"Representation Learning of Knowledge Graphs with Entity Descriptions (DKRL, Zero Shot) - Xie et al. AAAI 16",,,Important,,
,,"Lessons from Natural Language Inference in the Clinical Domain
 - MediQA",,,,,
,,SSP: Semantic Space Projection for Knowledge Graph Embedding with Text Descriptions - Xiao AAAI 2017,,,Important,,
,,Knowledge Graph and Text Jointly Embedding - Wang,,,,,
,,Aligning Knowledge and Text Embeddings by Entity Descriptions - Zhong EMNLP 2015,,,High,,
,,Text-Enhanced Representation Learning for Knowledge Graph - Wang et al IJCAI 16,,,Important,,
,,Knowledge Graph Convolutional Networks for RecommenderSystems with Label Smoothness Regularization - KDD 19,,,High,,
,,"DEEP GRAPH INFOMAX - ICLR - 19, Velkovic, Bengio",,,,,
,,A Neural Bag-of-Words Modelling Framework for Link Prediction in Knowledge Bases with Sparse Connectivity - WWW 19,Done,,Important,,
,,One-Shot Relational Learning for Knowledge Graphs,,,,,
,,HyTE: Hyperplane-based Temporally aware Knowledge Graph Embedding - Talukdar,,,Important,,
,,"Encoding Temporal Information for Time-Aware Link Prediction - Jiang, EMNLP '16",,,,,
,,Representation Learning on Graphs: Methods and Applications - Hamilton et al. ,Done,,Important,,
,,RotatE: Knowledge Graph Embedding by Relational Rotation in Complex Space - Sun et al,Done,,Important,,
,,"Incorporating GAN for Negative Sampling in Knowledge Representation Learning
 - AAAI 18",,,High,,
,,Hashing with Graphs - Liu et al,Done,,Important,,
,,Inductive Representation Learning on Large Graphs (GraphSAGE) - Hamilton et al. NeurIPS 2017,,,Important,,
,,Graph Attention Networks - Petar Veličković et al. ICLR 2018,Done,,Important,,
,,Learning Attention-based Embeddings for Relation Prediction in Knowledge Graphs - Nathani et al,Done,,Important,,
,,"A2N: Attending to Neighbors for Knowledge Graph Inference - McCallum et al, ACL 2019",Done,,Important,,
,,"An Open-World Extension to Knowledge Graph Completion Models
 - AAAI 19",Done,,Important,,
,,TuckER: Tensor Factorization for Knowledge Graph Completion - EMNLP 2019,Done,,,,
,EMNLP 2019,"CaRe: Open Knowledge Graph Embeddings
 - Talukdar et al",,,Important,,
,,GraphMix: Regularized Training of Graph Neural Networks for Semi-Supervised Learning - Y. Bengio,,,,,
,,Observed versus latent features for knowledge base and text inference - Toutanova et al,,,Important,,
,,Collaborative Policy Learning for Open Knowledge Graph Reasoning - Cong Fu - EMNLP,,,Important,,
,,Predicting the Co-Evolution of Event and Knowledge Graphs - 2015,,,,,
,,Using Pairwise Occurrence Information to Improve Knowledge Graph Completion on Large-Scale Datasets - Balkir et al,Done,,Important,,
,NeurIPS 2019,Quaternion Knowledge Graph Embeddings (Zhang et al),Done,,,,
