,Subject,Assignment,Status,Time,Priority,Start date,Due on
,,,,,,,
,,,,,,,
,,Deep Generative Modeling with Applications in Semi-Supervised Learning (Zhilin Yang PHD Thesis),,,High,,
,,Best of Both Worlds: Transferring Knowledge from Discriminative Learning to a Generative Visual Dialog Model (NIPS '17),,,,,
,,Probabilistic Recurrent State-Space Models (ICML 18) [e.g. LSTM is a deterministic state space model],,,,,
,,Deep Variational Reinforcement Learning for POMDPs (ICML 18),,,,,
,,Feedback-Based Tree Search for Reinforcement Learning (ICML 18),,,,,
,,Mean Field Multi-Agent Reinforcement Learning (ICML 2018),,,,,
,,"Simple statistical gradient-following algorithms for connectionist reinforcement learning (REINFORCE, Williams 92)",Done,,Important,,
,,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer - Jeff Dean,,,,,
,,AutoLoss: Learning Discrete Schedules for Alternate Optimization (Salakuthdinov),,,,,
,,Asynchronous Methods for Deep Reinforcement Learning (Mnih et. al. 2016),,,,,
,,"Function Optimization using Connectionist Reinforcement Learning Algorithms (William, Peng 1991)",,,,,
,, Q-Prop: Sample-Efficient Policy Gradient with An Off-Policy Critic,,,,,
,,Dirichlet Variational Autoencoder for Text Modeling - Tiancheng Zhao,,,,,
,,Language GANs Falling Short,Done,,Important,,
,,Simulating Action Dynamics with Neural Process Networks - Yejin Choi,,,High,,
,,Playing Atari with Deep Reinforcement Learning - Deepmind,,,Important,,
,,VAE Learning via Stein Variational Gradient Descent - L. Carin,,,,,
,,"Stackelberg GAN: Towards Provable Minimax Equilibrium via Multi-Generator Architectures - Hongyang Zhang, Susu Xu, Jiantao Jiao, Pengtao Xie, Ruslan Salakhutdinov, Eric P. Xing ",,,,,
,,Causal Inference Framework,,,Important,,
,,Focal Loss for Dense Object Detection - FAIR - CVPR 18,,,High,,
,,Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks - Berkley AI - CVPR 18,,,High,,
,,Training Very Deep Networks - Srivastava NIPS 15,Done,,Important,,
,,An Overview of Multi-Task Learning in Deep Neural Networks - Seb.Ruder,,,,,
,,,,,,,
,,Deep Residual Learning for Image Recognition - CVPR 2016,Done,,Important,,
,,FASTGCN: FAST LEARNING  WITH GRAPH CONVOLUTIONAL NETWORKS VIA IMPORTANCE SAMPLING - ICLR 2018,,,High,,
,,"Generative Adversarial Networks and Continual Learning∗ - LCarin, NIPS 2018",,,,,
,,Natural actor–critic algorithms - S.Bhatnagar,,,Important,,
,,Natural Actor-Critic - J. Peters,,,Important,,
,,Understanding the Variational Lower Bound - Xitong Yang,,,High,,
,,A Unified Architecture for Natural Language Processing:Deep Neural Networks with Multitask Learning - J. Weston,,,High,,
,,"Improved Techniques for Training GANs - Goodfellow, NIPS",Done,,Important,,
,,Opening the Black Box of Deep Neural Networks via Information - Tishby et al.,,,Important,,
,,Towards Principled Methods for Training Generative Adversarial Networks - M. Arjovsky,,,High,,
,,Tuning Hyperparameters without Grad Students: Scalable and Robust Bayesian Optimisation with Dragonfly - Kandasamy et al,,,High,,
,,GANS for Sequences of Discrete Elements with the Gumbel-softmax Distribution - Kusner et al,,,,,
