,Subject,Assignment,Status,Time,Priority,Start date,Due on
,,,,,,,
,,,,,,,
,,What you can cram into a single $&!#* vector: Probing sentence embeddings for linguistic properties (Marco Baroni),,,,,
,,Reasoning about Actions and State Changes by Injecting Commonsense Knowledge (EMNLP 18),,,,,
,,Neural Network Acceptability Judgments - S. Bowman,Done,,Important,,
,,"Identifying Well-formed Natural Language Questions - Manaal Faruqi, EMNLP 18",,,,,
,,Learning General Purpose Distributed Sentence Representations via Large Scale Multi-task Learning - Bengio,,,,,
,,Improving Language Understanding by Generative Pre-Training - I. Sutskever,,,,,
,,"[Linguistics] Grammaticality, Acceptibility and Probability - A.Clark",,,,,
,,Learning Neural Templates for Text Generation - Alexander Rush,,,,,
,,"Variational Autoencoder for Semi-supervised Text Classification - Xu, Sun, Deng, Tan",,,Important,,
,,"SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient - Lantao Yu, Weinan Zhang, Jun Wang, Yong Yu",Done,,High,,
,,"Improved Semantic Representations From Tree-Structured Long Short-Term Memory Networks - Kai Sheng Tai, Richard Socher, Christopher D. Manning ",,,High,,
,,Connecting the Dots Between MLE and RL for Sequence Generation - R. Salakhutdinov,,,High,,
,,A Hybrid Convolutional Variational Autoencoder for Text Generation,Done,,Important,,
,,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Done,,Important,,
,,Towards Controlled Generation of Text,,,,,
,,"Recurrent Neural Network Grammars - Chris Dyer, NAACL 2016",,,,,
,,Analysis Methods in Neural Language Processing: A Survey (TACL 2019),,,Important,,
,,"ELMo - Deep contextualized word representations - Peter, Gardner, NAACL-HLT",Done,,High,,
,,Bidirectional LSTM-CRF Models for Sequence Tagging - BI-LSTM-CRF POS tagging,,,High,,
,,Character-level Convolutional Networks for Text Classification -  Lecunn - NIPS 15,,,,,
,,Google's Multilingual Neural Machine Translation System: Enabling Zero-Shot Translation - Jeff. Dean,,,,,
,,Learning and Evaluating General Linguistic Intelligence - Dani Yogatama,,,Important,,
,NLI,Neural Natural Language Inference Models Enhanced with External Knowledge - ACL 18,,,,,
,,"Colorless green recurrent networks dream hierarchically - Linzen, NAACL 2018",,,High,,
,,A Decomposable Attention Model for Natural Language Inference - Parikh et al,,,High,,
,,Enhanced LSTM for Natural Language Inference - ACL 2017,Done,,,,
,,Discrete Autoencoders for Sequence Models - Kaiser et al,,,Important,,
,,Challenges with Variational Autoencoders for Text - Vani et al.,,,Important,,
,,Improved Variational Autoencoders for Text Modeling using Dilated Convolutions - R. Salakhutdinov,,,Important,,
,,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context - Salakhutdinov,,,,,
,,A Hierarchical Attention Retrieval Model for Healthcare Question Answering - WWW 19,,,High,,
,,Improving Question Answering with External Knowledge - Arxiv Preprint,Done,,,,
,,BERT Rediscovers the Classical NLP Pipeline - Ian Tenney,Done,,,,
,ACL 2019,Adaptive Attention Span in Transformers,,,,,
,ACL 2019,"Analyzing Multi-Head Self-Attention: Specialized Heads Do the Heavy Lifting, the Rest Can Be Pruned",,,,,
,,,,,,,
,,Language Models are Unsupervised Multitask Learners - Ilya Sutskever (OpenAI GPT-2),Done,,Important,,
